Matrix_id	Gene_id	Species	Method	Datasource	Datasource_ID
MP00001	471409	Arabidopsis lyrata	PBM	PMID:25378322	DDF1
MP00002	475045	Arabidopsis lyrata	PBM	PMID:25378322	DDF2
MP00003	484361	Arabidopsis lyrata	PBM	PMID:25215497	M1282_1.02
MP00004	920224	Arabidopsis lyrata	PBM	PMID:25215497	M1287_1.02
MP00005	484486	Arabidopsis lyrata	PBM	PMID:25215497	M1652_1.02
MP00006	493022	Arabidopsis lyrata	PBM	PMID:25215497	M1653_1.02
MP00007	495258	Arabidopsis lyrata	PBM	PMID:25215497	M1654_1.02
MP00008	496250	Arabidopsis lyrata	PBM	PMID:25215497	M1655_1.02
MP00009	929286	Arabidopsis lyrata	PBM	PMID:25215497	M1659_1.02
MP00010	AT1G67710	Arabidopsis thaliana	PBM	PMID:24477691	ARR11
MP00011	AT5G28300	Arabidopsis thaliana	PBM	PMID:24477691	At5g28300
MP00012	AT1G52890	Arabidopsis thaliana	PBM	PMID:25378322	ANAC019
MP00013	AT3G61890	Arabidopsis thaliana	PBM	PMID:24477691	ATHB12
MP00014	AT3G46640	Arabidopsis thaliana	PBM	PMID:25378322	LUX
MP00015	AT3G61910	Arabidopsis thaliana	PBM	PMID:25378322	NST2
MP00016	AT1G32770	Arabidopsis thaliana	PBM	PMID:25378322	SND1
MP00017	AT1G71930	Arabidopsis thaliana	PBM	PMID:25378322	VND7
MP00018	AT2G42400	Arabidopsis thaliana	PBM	PMID:25378322	VOZ2
MP00019	AT1G42990	Arabidopsis thaliana	PBM	PMID:24477691	bZIP60
MP00020	AT4G36900	Arabidopsis thaliana	PBM	PMID:24477691	DEAR4
MP00021	AT2G33860	Arabidopsis thaliana	PBM	PMID:24477691	ETT
MP00022	AT2G20570	Arabidopsis thaliana	PBM	PMID:24477691	GLK1
MP00023	AT1G06160	Arabidopsis thaliana	PBM	PMID:25215497	M0005_1.02
MP00024	AT1G25560	Arabidopsis thaliana	PBM	PMID:25215497	M0008_1.02
MP00025	AT1G68840	Arabidopsis thaliana	PBM	PMID:25215497	M0013_1.02
MP00026	AT1G78080	Arabidopsis thaliana	PBM	PMID:25215497	M0016_1.02
MP00027	AT4G23750	Arabidopsis thaliana	PBM	PMID:25215497	M0029_1.02
MP00028	AT1G09770	Arabidopsis thaliana	SELEX	PMID:16381825	M00361
MP00029	AT5G43410	Arabidopsis thaliana	PBM	PMID:25215497	M0037_1.02
MP00030	AT2G03710	Arabidopsis thaliana	SELEX	PMID:16381825	M00392
MP00031	AT3G25730	Arabidopsis thaliana	PBM	PMID:25215497	M0081_1.02
MP00032	AT1G28300	Arabidopsis thaliana	PBM	PMID:25215497	M0146_1.02
MP00033	AT5G37020	Arabidopsis thaliana	PBM	PMID:25215497	M0147_1.02
MP00034	AT4G00050	Arabidopsis thaliana	PBM	PMID:25215497	M0158_1.02
MP00035	AT4G36930	Arabidopsis thaliana	PBM	PMID:25215497	M0162_1.02
MP00036	AT5G48560	Arabidopsis thaliana	PBM	PMID:25215497	M0166_1.02
MP00037	AT2G21230	Arabidopsis thaliana	PBM	PMID:25215497	M0260_1.02
MP00038	AT4G34000	Arabidopsis thaliana	PBM	PMID:25215497	M0267_1.02
MP00039	AT4G36730	Arabidopsis thaliana	PBM	PMID:25215497	M0268_1.02
MP00040	AT5G28770	Arabidopsis thaliana	PBM	PMID:25215497	M0272_1.02
MP00041	AT3G46090	Arabidopsis thaliana	PBM	PMID:25215497	M0373_1.02
MP00042	AT2G22300	Arabidopsis thaliana	PBM	PMID:25215497	M0581_1.02
MP00043	AT5G64220	Arabidopsis thaliana	PBM	PMID:25215497	M0582_1.02
MP00044	AT3G22760	Arabidopsis thaliana	PBM	PMID:25215497	M0590_1.02
MP00045	AT4G29000	Arabidopsis thaliana	PBM	PMID:25215497	M0591_1.02
MP00046	AT5G39660	Arabidopsis thaliana	PBM	PMID:25215497	M0653_1.02
MP00047	AT1G08000	Arabidopsis thaliana	PBM	PMID:25215497	M0758_1.02
MP00048	AT4G32890	Arabidopsis thaliana	PBM	PMID:25215497	M0768_1.02
MP00049	AT2G36610	Arabidopsis thaliana	PBM	PMID:25215497	M0844_1.02
MP00050	AT4G17460	Arabidopsis thaliana	PBM	PMID:25215497	M0851_1.02
MP00051	AT4G40060	Arabidopsis thaliana	PBM	PMID:25215497	M0854_1.02
MP00052	AT1G15720	Arabidopsis thaliana	PBM	PMID:25215497	M1316_1.02
MP00053	AT1G22640	Arabidopsis thaliana	PBM	PMID:25215497	M1319_1.02
MP00054	AT4G16110	Arabidopsis thaliana	PBM	PMID:25215497	M1331_1.02
MP00055	AT5G04760	Arabidopsis thaliana	PBM	PMID:25215497	M1336_1.02
MP00056	AT5G05090	Arabidopsis thaliana	PBM	PMID:25215497	M1337_1.02
MP00057	AT5G58080	Arabidopsis thaliana	PBM	PMID:25215497	M1345_1.02
MP00058	AT1G61110	Arabidopsis thaliana	PBM	PMID:25215497	M1400_1.02
MP00059	AT5G04410	Arabidopsis thaliana	PBM	PMID:25215497	M1404_1.02
MP00060	AT3G60030	Arabidopsis thaliana	PBM	PMID:25215497	M1566_1.02
MP00061	AT4G00270	Arabidopsis thaliana	PBM	PMID:25215497	M1620_1.02
MP00062	AT3G15030	Arabidopsis thaliana	PBM	PMID:25215497	M1646_1.02
MP00063	AT4G18390	Arabidopsis thaliana	PBM	PMID:25215497	M1648_1.02
MP00064	AT5G51910	Arabidopsis thaliana	PBM	PMID:25215497	M1649_1.02
MP00065	AT5G60970	Arabidopsis thaliana	PBM	PMID:25215497	M1650_1.02
MP00066	AT1G66600	Arabidopsis thaliana	PBM	PMID:25215497	M1679_1.02
